Lowest season war with career war over 20 70
20 rows

 #1: Paul Molitor              75.65     6.2 (1982) 21 (1978-1998) MIL,TOR,MIN
 #2: Sam Crawford               75.3     6.2 (1914) 19 (1899-1917) CIN,DET
 #3: Lou Whitaker               75.1     6.8 (1991) 19 (1977-1995) DET
 #4: Rafael Palmeiro            71.9     6.9 (1993) 20 (1986-2005) CHC,TEX,BAL
 #5: Cap Anson                  84.7     7.0 (1886) 22 (1876-1897) CHC
 #6: Bill Dahlen               75.25     7.1 (1896) 20 (1891-1911) CHC,BRO,NYG,BSN
 #7: Barry Larkin               70.5     7.2 (1996) 19 (1986-2004) CIN
 #8: Paul Waner                 74.7     7.2 (1936) 19 (1926-1944) PIT,BRO,BSN
 #9: George Davis               84.5     7.2 (1905) 20 (1890-1909) CLV,NYG,CHW
#10: Frank Thomas               73.8     7.3 (1997) 19 (1990-2008) CHW,OAK,TOR
#11: Ozzie Smith               76.85     7.3 (1989) 19 (1978-1996) SDP,STL
#12: Luke Appling              77.55     7.4 (1943) 20 (1930-1950) CHW
#13: Johnny Mize               70.75     7.5 (1947) 15 (1936-1953) STL,NYG,NYY
#14: Jim Thome                 73.05     7.5 (1996) 22 (1991-2012) CLE,PHI,CHW,MIN,BAL
#15: Chipper Jones             85.25     7.6 (2007) 19 (1993-2012) ATL
#16: Bobby Wallace              76.3     7.8 (1901) 25 (1894-1918) CLV,STL,SLB
#17: Nolan Ryan                 81.3     7.8 (1977) 27 (1966-1993) NYM,CAL,HOU,TEX
#18: Ted Lyons                 70.55     7.9 (1927) 21 (1923-1946) CHW
#19: Derek Jeter                71.3     8.0 (1999) 20 (1995-2014) NYY
#20: Eddie Mathews             96.15     8.2 (1959) 17 (1952-1968) BSN,MLN,ATL,DET,HOU
