Steve Balboni All-Stars
Players with 10 or more seasons and less than 0.5 war per season.
2023-02-26 18:01:38.020
741 rows

Blaine Boyer              -1.65 12 (2005-2018) ATL,STL,ARI,NYM,SDP,MIN,MIL,KCR,BOS
Dana Eveland              -1.65 11 (2005-2016) MIL,ARI,OAK,TOR,PIT,LAD,BAL,NYM,ATL,TBR
Russ Nixon                -1.65 12 (1957-1968) CLE,BOS,MIN
Randy Knorr                -1.6 11 (1991-2001) TOR,HOU,FLA,TEX,MON
Craig Paquette             -1.6 11 (1993-2003) OAK,KCR,NYM,STL,DET
Ronny Cedeno              -1.55 10 (2005-2014) CHC,SEA,PIT,NYM,HOU,SDP,PHI
Darnell Coles             -1.45 14 (1983-1997) SEA,DET,PIT,SFG,CIN,TOR,STL,COL
Frank O'Rourke            -1.45 14 (1912-1931) BSN,BRO,WSH,BOS,DET,SLB
Chris Gomez                -1.4 16 (1993-2008) DET,SDP,TBD,MIN,TOR,BAL,CLE,PIT
Ricky Gutierrez            -1.4 12 (1993-2004) SDP,HOU,CHC,CLE,BOS,NYM
Chris Gwynn                -1.4 10 (1987-1996) LAD,KCR,SDP
Jordan Lyles               -1.4 12 (2011-2022) HOU,COL,SDP,MIL,PIT,TEX,BAL
Austin Romine              -1.3 11 (2011-2022) NYY,DET,CHC,LAA,STL,CIN
Paul Bako                 -1.25 12 (1998-2009) DET,HOU,ATL,FLA,MIL,CHC,LAD,KCR,BAL,CIN,PHI
Reno Bertoia              -1.25 10 (1953-1962) DET,WSH,MIN,KCA
Carmelo Castillo          -1.25 10 (1982-1991) CLE,MIN
Edgar Gonzalez            -1.25 10 (2003-2013) ARI,OAK,COL,HOU,TOR
Larry Biittner             -1.2 13 (1971-1983) WSA,TEX,MON,CHC,CIN
Hal Janvrin                -1.2 10 (1911-1922) BOS,WSH,STL,BRO
Craig Shipley              -1.2 11 (1986-1998) LAD,NYM,SDP,HOU,ANA
Jimmy Stewart              -1.2 10 (1963-1973) CHC,CHW,CIN,HOU
Mike Ryan                 -1.15 11 (1964-1974) BOS,PHI,PIT
John D'Acquisto           -1.05 10 (1973-1982) SFG,STL,SDP,MON,CAL,OAK
Mike Kahoe                -1.05 11 (1895-1909) CIN,CHC,SLB,PHI,WSH
Keith Osik                 -1.0 10 (1996-2005) PIT,MIL,BAL,WSN
Eddie Williams             -1.0 10 (1986-1998) CLE,CHW,SDP,DET,PIT
Oscar Melillo             -0.95 12 (1926-1937) SLB,BOS
C.J. Nitkowski            -0.95 10 (1995-2005) CIN,DET,HOU,NYM,ATL,NYY,WSN,TEX
Hal Lanier                 -0.9 10 (1964-1973) SFG,NYY
Dave Tomlin                -0.9 13 (1972-1986) CIN,SDP,MON,PIT
Chad Durbin                -0.8 14 (1999-2013) KCR,ARI,CLE,DET,PHI,ATL
